scenario_name,scenario_path,corridor_case,agent_case,description,grid_width,grid_height,tunnel_target_ratio,tunnel_width_ratio,tunnel_width_percent,configured_corridor_length,configured_tunnel_length,tunnel_start_col,tunnel_end_col,tunnel_row,left_station,right_station,total_agents,agent_density,total_tasks,map_vertices,map_edges,pods,corridor_node_count,corridor_component_count,largest_corridor_component,longest_corridor_component,junction_count,dead_end_count,degree_distribution,abstract_vertices,abstract_edges,egroup_count,egroup_3_count,compression_ratio,runtime_seconds,generated_dir,result_files,abstract_makespan,repair_makespan,observed_makespan,sum_of_costs,repair_cost,concrete_cost_proxy,total_waits,move_count,stay_count,at_count,path_count,visited_count,repair_segments,longest_repair_steps,longest_repair_detail,abstract_plan_details,abstract_transitions,repair_path_details,repair_path_details_readable,move_details,stay_details,per_agent_costs,solver_status,solver_returncode,solver_log_path,solver_message,visited_details
sweep_r60_w80_h23_a35_s01,debug/scenarios/sweep_r60_w80_h23_a35_s01,medium,very_high,"Random-width tunnel sweep: tunnel is 60% of grid width 80, with 35 agents.",80,23,0.6,0.6,60.0,48,48,16,63,11,895,944,35,0.729167,35,304,846,96,48,1,48,47,200,0,degree_2=8;degree_3=66;degree_4=134,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r60_w80_h23_a35_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r70_w90_h17_a02_s01,debug/scenarios/sweep_r70_w90_h17_a02_s01,long,low,"Random-width tunnel sweep: tunnel is 70% of grid width 90, with 2 agents.",90,17,0.7,0.7,70.0,63,63,13,75,8,732,796,2,0.031746,2,324,846,126,63,1,63,62,190,0,degree_2=8;degree_3=56;degree_4=134,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r70_w90_h17_a02_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r70_w80_h23_a10_s01,debug/scenarios/sweep_r70_w80_h23_a10_s01,long,medium,"Random-width tunnel sweep: tunnel is 70% of grid width 80, with 10 agents.",80,23,0.7,0.7,70.0,56,56,12,67,11,891,948,10,0.178571,10,288,750,112,56,1,56,55,168,0,degree_2=8;degree_3=50;degree_4=118,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r70_w80_h23_a10_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r70_w140_h15_a20_s01,debug/scenarios/sweep_r70_w140_h15_a20_s01,long,high,"Random-width tunnel sweep: tunnel is 70% of grid width 140, with 20 agents.",140,15,0.7,0.7,70.0,98,98,21,118,7,1000,1099,20,0.204082,20,504,1326,196,98,1,98,97,300,0,degree_2=8;degree_3=86;degree_4=214,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r70_w140_h15_a20_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r70_w110_h15_a25_s01,debug/scenarios/sweep_r70_w110_h15_a25_s01,long,high,"Random-width tunnel sweep: tunnel is 70% of grid width 110, with 25 agents.",110,15,0.7,0.7,70.0,77,77,16,92,7,785,863,25,0.324675,25,396,1038,154,77,1,77,76,234,0,degree_2=8;degree_3=68;degree_4=166,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r70_w110_h15_a25_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r70_w160_h17_a30_s01,debug/scenarios/sweep_r70_w160_h17_a30_s01,long,high,"Random-width tunnel sweep: tunnel is 70% of grid width 160, with 30 agents.",160,17,0.7,0.7,70.0,112,112,24,135,8,1303,1416,30,0.267857,30,576,1518,224,112,1,112,111,344,0,degree_2=8;degree_3=98;degree_4=246,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r70_w160_h17_a30_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r70_w120_h21_a35_s01,debug/scenarios/sweep_r70_w120_h21_a35_s01,long,very_high,"Random-width tunnel sweep: tunnel is 70% of grid width 120, with 35 agents.",120,21,0.7,0.7,70.0,84,84,18,101,10,1217,1302,35,0.416667,35,432,1134,168,84,1,84,83,256,0,degree_2=8;degree_3=74;degree_4=182,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r70_w120_h21_a35_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r80_w100_h23_a02_s01,debug/scenarios/sweep_r80_w100_h23_a02_s01,very_long,low,"Random-width tunnel sweep: tunnel is 80% of grid width 100, with 2 agents.",100,23,0.8,0.8,80.0,80,80,10,89,11,1109,1190,2,0.025,2,340,822,160,80,1,80,79,172,0,degree_2=8;degree_3=42;degree_4=130,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r80_w100_h23_a02_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r80_w90_h23_a10_s01,debug/scenarios/sweep_r80_w90_h23_a10_s01,very_long,medium,"Random-width tunnel sweep: tunnel is 80% of grid width 90, with 10 agents.",90,23,0.8,0.8,80.0,72,72,9,80,11,998,1071,10,0.138889,10,306,738,144,72,1,72,71,154,0,degree_2=8;degree_3=38;degree_4=116,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r80_w90_h23_a10_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r80_w120_h23_a20_s01,debug/scenarios/sweep_r80_w120_h23_a20_s01,very_long,high,"Random-width tunnel sweep: tunnel is 80% of grid width 120, with 20 agents.",120,23,0.8,0.8,80.0,96,96,12,107,11,1331,1428,20,0.208333,20,408,990,192,96,1,96,95,208,0,degree_2=8;degree_3=50;degree_4=158,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r80_w120_h23_a20_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r80_w100_h15_a25_s01,debug/scenarios/sweep_r80_w100_h15_a25_s01,very_long,high,"Random-width tunnel sweep: tunnel is 80% of grid width 100, with 25 agents.",100,15,0.8,0.8,80.0,80,80,10,89,7,709,790,25,0.3125,25,340,822,160,80,1,80,79,172,0,degree_2=8;degree_3=42;degree_4=130,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r80_w100_h15_a25_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r80_w110_h19_a30_s01,debug/scenarios/sweep_r80_w110_h19_a30_s01,very_long,high,"Random-width tunnel sweep: tunnel is 80% of grid width 110, with 30 agents.",110,19,0.8,0.8,80.0,88,88,11,98,9,1000,1089,30,0.340909,30,374,906,176,88,1,88,87,190,0,degree_2=8;degree_3=46;degree_4=144,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r80_w110_h19_a30_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
sweep_r80_w90_h23_a35_s01,debug/scenarios/sweep_r80_w90_h23_a35_s01,very_long,very_high,"Random-width tunnel sweep: tunnel is 80% of grid width 90, with 35 agents.",90,23,0.8,0.8,80.0,72,72,9,80,11,998,1071,35,0.486111,35,306,738,144,72,1,72,71,154,0,degree_2=8;degree_3=38;degree_4=116,0,0,0,0,,,/Users/shafiq/MSC/NMSU_PhD/mapf-study/debug/scenarios/sweep_r80_w90_h23_a35_s01/generated,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
